article_title,domain_area,notes
EMPLOYEE RIGHTS,other,
EMPLOYEE RIGHTS/STANDARDS OF CONDUCT,other,
EMPLOYEE VOLUNTEER PROVISIONS,other,
EMPLOYER RIGHTS,management_rights_operations,
EMPLOYER/UNION COOPERATION,other,
EQUAL EMPLOYMENT OPPORTUNITY,legal_compliance,
EQUAL EMPLOYMENT OPPORTUNITY (EEO),legal_compliance,
EQUAL EMPLOYMENT OPPORTUNITY (EEO) AND SEXUAL HARASSMENT,legal_compliance,
EQUAL EMPLOYMENT OPPORTUNITY AND DISCRIMINATION FREE WORKPLACE,facilities_equipment_workplace,
EXCUSED ABSENCE DURING HAZARDOUS,leave_attendance,
FACILITIES AND SERVICES,facilities_equipment_workplace,
"FACILITIES, EQUIPMENT AND SERVICES",facilities_equipment_workplace,
FAMILY AND MEDICAL LEAVE ACT,leave_attendance,
FARE SUBSIDIES FOR EMPLOYEES,pay_awards_benefits,
FIREARMS RANGE,management_rights_operations,
FLEXIPLACE,work_schedule_overtime,
FURLOUGHS FOR THIRTY (30) DAYS OR LESS,other,
GOVERNMENT FURNISHED QUARTERS,facilities_equipment_workplace,
GOVERNMENT OFFICE EQUIPMENT AND INFORMATION TECHNOLOGY,facilities_equipment_workplace,
GOVERNMENT PERSONAL PROPERTY MANAGEMENT,facilities_equipment_workplace,
GRIEVANCE PROCEDURE,dispute_resolution,
GRIEVANCE PROCEDURES,dispute_resolution,
GRIEVANCE PROCESS,dispute_resolution,
HARDSHIP REASSIGNMENT,staffing_career_movement,
HAZARDOUS DUTY/ENVIRONMENTAL DIFFERENTIALS,health_safety_accommodation,
HEALTH AND SAFETY,health_safety_accommodation,
HEALTH BENEFITS WHEN IN A NON PAY STATUS,leave_attendance,
HOLIDAYS,leave_attendance,
"HOURS OF DUTY, CREDIT HOURS, ALTERNATIVE WORK SCHEDULES",work_schedule_overtime,
HOURS OF WORK,work_schedule_overtime,
HOURS OF WORK AND OVERTIME,work_schedule_overtime,
"HOURS OF WORK, FLEXTIME, ALTERNATIVE WORK SCHEDULES",work_schedule_overtime,
INCENTIVE AWARDS PROGRAM,pay_awards_benefits,
INFORMATION AND PUBLICATIONS,records_privacy_admin,
INJURY COMPENSATION,health_safety_accommodation,
INVESTIGATIONS,discipline_adverse_actions,
LABOR COMMITTEE CHAIRMAN/CHIEF OF POLICE,other,
LABOR MANAGEMENT FORUM/RELATIONS MEETINGS,union_structure_representation,
LABOR MANAGEMENT TRAINING,training_development,
LAST CHANCE AGREEMENTS,discipline_adverse_actions,
LATERAL MOVEMENT,staffing_career_movement,
LAW ENFORCEMENT,management_rights_operations,
LEAVE,leave_attendance,
LEAVE FOR MATERNITY REASONS,leave_attendance,
LEAVE WITHOUT PAY,leave_attendance,
LOCAL SUPPLEMENTS,bargaining_contract_term,
LOCKER ROOMS/SHOWERS,facilities_equipment_workplace,
MANAGEMENT DIRECTED REASSIGNMENTS TO NEW LOCATION,staffing_career_movement,
MANAGEMENT RIGHTS,management_rights_operations,
MEDICAL QUALIFICATION DETERMINATIONS,bargaining_contract_term,
MERIT EMPLOYMENT AND PROMOTION,staffing_career_movement,
MERIT PROMOTION,staffing_career_movement,
MERIT PROMOTION AND INTERNAL PLACEMENT,staffing_career_movement,
MERIT PROMOTION AND NON- COMPETITIVE PROMOTIONS,staffing_career_movement,
MID-TERM AND SUCCESSOR AGREEMENT NEGOTIATIONS,bargaining_contract_term,
MID-TERM BARGAINING,bargaining_contract_term,
MIDCONTRACT NEGOTIATIONS,bargaining_contract_term,
MILITARY LEAVE,leave_attendance,
MOTOR VEHICLE OPERATION,management_rights_operations,
MULTILINGUAL EMPLOYEES,other,
NAMES OF EMPLOYEES AND COMMUNICATION,union_structure_representation,
NEGOTIATION AND SUPPLEMENTATION,bargaining_contract_term,
NEGOTIATIONS DURING THE TERM OF THE AGREEMENT,bargaining_contract_term,
NO STRIKE,bargaining_contract_term,
NOTIFICATION PROCEDURES,records_privacy_admin,
"OCCUPANT EMERGENCY, PANDEMIC EVENTS AND CONTINUITY OF",management_rights_operations,
OFFICIAL RECORDS,records_privacy_admin,
OFFICIAL TIME,union_structure_representation,
OFFICIAL TRAVEL,facilities_equipment_workplace,
ORIENTATION OF NEW EMPLOYEES,union_structure_representation,
OUTSIDE EMPLOYMENT,legal_compliance,
OVERTIME,work_schedule_overtime,
OVERTIME AND COMPENSATORY TIME,work_schedule_overtime,
OVERTIME/COMPENSATORY TIME,work_schedule_overtime,
PARKING AND TRANSPORTATION,facilities_equipment_workplace,
PARKING MANAGEMENT,facilities_equipment_workplace,
PART-TIME OR JOB SHARE EMPLOYEES,other,
PAY ADMINISTRATION,pay_awards_benefits,
PERFORMANCE APPRAISAL,performance_management,
PERFORMANCE APPRAISALS,performance_management,
PERFORMANCE AWARDS,pay_awards_benefits,
PERFORMANCE EVALUATION,performance_management,
PERFORMANCE MANAGEMENT,performance_management,
PERFORMANCE STANDARDS AND EVALUATION,performance_management,
PERFORMANCE-BASED ACTION,discipline_adverse_actions,
PERSONNEL RECORDS,records_privacy_admin,
PILOT PROGRAMS AND,other,
POSITION CLASSIFICATION,staffing_career_movement,
POSITION DESCRIPTIONS,staffing_career_movement,
POSITION DESCRIPTIONS (PD),staffing_career_movement,
PRINTING AND DISTRIBUTION OF AGREEMENT,records_privacy_admin,
PRIVACY OF MEDICAL RECORDS,health_safety_accommodation,
PROBATIONARY EMPLOYEES,staffing_career_movement,
PROCEDURES FOR SUBSTANCE TESTING,health_safety_accommodation,
PROFESSIONAL EMPLOYEES,other,
PROHIBITED PERSONNEL PRACTICES,legal_compliance,
PROMOTIONS WITHIN THE BARGAINING UNIT,staffing_career_movement,
PROVISIONS OF LAW AND REGULATION AND,legal_compliance,
REASONABLE ACCOMMODATION,health_safety_accommodation,
REASSIGNMENTS,staffing_career_movement,
RECOGNITION AND UNIT DESCRIPTION,union_structure_representation,
REDUCTION IN FORCE,staffing_career_movement,
REDUCTION-IN-FORCE (RIF),staffing_career_movement,
REDUCTION-IN-FORCE (RIF)/PLACEMENT,staffing_career_movement,
REDUCTION-IN-FORCE AND TRANSFER OF FUNCTION,staffing_career_movement,
REDUCTION-IN-FORCE AND/OR TRANSFER OF FUNCTION,staffing_career_movement,
REDUCTIONS IN FORCE,staffing_career_movement,
REQUIRED CLOTHING AND EQUIPMENT,facilities_equipment_workplace,
REST BREAK AREAS,facilities_equipment_workplace,
RETIREMENT,pay_awards_benefits,
RIGHTS AND OBLIGATIONS OF THE PARTIES,union_structure_representation,
SAFE WORKING CONDITIONS AND ENVIRONMENTAL,health_safety_accommodation,
SAFETY AND HEALTH,health_safety_accommodation,
SAFETY AND OCCUPATIONAL HEALTH,health_safety_accommodation,
"SAFETY, HEALTH, AND WELLNESS",health_safety_accommodation,
SENIORITY,staffing_career_movement,
SICK LEAVE,leave_attendance,
SMOKE FREE ENVIRONMENT,facilities_equipment_workplace,
SMOKING,facilities_equipment_workplace,
SPACE MANAGEMENT,facilities_equipment_workplace,
STAFFING,staffing_career_movement,
STRIKES AND PICKETING,bargaining_contract_term,
STUDENT LOAN REPAYMENT PROGRAM,pay_awards_benefits,
SUNDAY PREMIUM PAY/SHIFT DIFFERENTIAL,work_schedule_overtime,
SURVEILLANCE,management_rights_operations,
TARDINESS,leave_attendance,
TELEWORK,work_schedule_overtime,
TEMPORARY EMPLOYEES,staffing_career_movement,
TEMPORARY LIMITED/LIGHT DUTY,health_safety_accommodation,
"TEMPORARY, PROBATIONARY, PART-TIME",staffing_career_movement,
TESTS AND EMPLOYEE SELECTION PROCESS,staffing_career_movement,
"THAT DEFICIENCIES, ALONG WITH EFFORTS TO HELP THE EMPLOYEE IMPROVE, BE DOCUMENTED AS",other,
TIME AND LEAVE,leave_attendance,
TRADE JURISDICTION ON NEW EQUIPMENT,facilities_equipment_workplace,
TRAINING,training_development,
TRAINING AND CAREER DEVE1OPMENT,training_development,
TRAINING AND CAREER DEVELOPMENT,training_development,
TRAINING AND DEVELOPMENT,training_development,
"TRAINING, APPRENTICESHIP AND EMPLOYEE DEVELOPMENT",training_development,
TRANSIT SUBSIDY,pay_awards_benefits,
TRAVEL,facilities_equipment_workplace,
TRAVEL AND TRAVEL CHARGE CARDS,facilities_equipment_workplace,
TRAVEL AND TRAVEL RELATED EXPENSES,facilities_equipment_workplace,
UNACCEPTABLE PERFORMANCE ACTIONS,discipline_adverse_actions,
UNACCEPTABLE PERFORMANCE PERSONNEL ACTIONS,discipline_adverse_actions,
UNFAIR LABOR PRACTICES,dispute_resolution,
UNIFORM AND EQUIPMENT,facilities_equipment_workplace,
UNIFORMS,facilities_equipment_workplace,
UNION REPRESENTATION,union_structure_representation,
UNION REPRESENTATION AND OFFICIAL TIME,union_structure_representation,
UNION RIGHTS,union_structure_representation,
UNION RIGHTS AND RESPONSIBILITIES,union_structure_representation,
"UNION RIGHTS, REPRESENTATION, AND OFFICIAL TIME",union_structure_representation,
UPWARD MOBILITY,staffing_career_movement,
USE OF FACILITES AND SERVICES PROVIDED BY THE AGENCY,other,
USE OF FORCE,management_rights_operations,
USE OF OFFICIAL FACILITIES AND COMMUNICATIONS,facilities_equipment_workplace,
VERA/VSIP (BUYOUTS),other,
VOLUNTARY ALLOTMENT OF UNION DUES,union_structure_representation,
WAGES,pay_awards_benefits,
WARNINGS/DISCIPLINE/ADVERSE ACTIONS,discipline_adverse_actions,
WELLNESS,health_safety_accommodation,
WITHIN-GRADE INCREASES,performance_management,
WITHIN-GRADE PAY INCREASES,performance_management,
WORK CLOTHES/FOOTWEAR/EYEGLASSES,facilities_equipment_workplace,
WORKERS COMPENSATION,health_safety_accommodation,
WORKPLACE OF THE FUTURE,facilities_equipment_workplace,
WORKWEEK AND HOURS OF WORK,work_schedule_overtime,
